question,strategy,prompt,response,score
What is the boiling point of nitrogen?,direct,"Question: What is the boiling point of nitrogen?
Answer:",                                                                                                                               ,0.0
What is the boiling point of nitrogen?,chain_of_thought,"Question: What is the boiling point of nitrogen?
Let's think about this step by step:
1. First, let's understand what we're being asked
2. Then, we'll break down the key components
3. Finally, we'll provide a comprehensive answer

Answer:",1.,0.0
What is the boiling point of nitrogen?,one_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: What is the boiling point of nitrogen?
Answer:",The boiling point of nitrogen is the boiling point of nitrogen.,0.4
What is the boiling point of nitrogen?,few_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: What is the largest planet?
Answer: The largest planet is Jupiter.

Question: What is the boiling point of nitrogen?
Answer:",The boiling point of nitrogen is the boiling point of nitrogen.,0.4
Summarize how the immune system works.,direct,"Question: Summarize how the immune system works.
Answer:",The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of the immune system. The immune system is a key component of,0.2
Summarize how the immune system works.,chain_of_thought,"Question: Summarize how the immune system works.
Let's think about this step by step:
1. First, let's understand what we're being asked
2. Then, we'll break down the key components
3. Finally, we'll provide a comprehensive answer

Answer:",1.,0.0
Summarize how the immune system works.,one_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: Summarize how the immune system works.
Answer:",The immune system is the body's immune system. The immune system is the body's immune system.,0.2
Summarize how the immune system works.,few_shot,"Question: What is the capital of France?
Answer: The capital of France is Paris.

Question: What is the largest planet?
Answer: The largest planet is Jupiter.

Question: Summarize how the immune system works.
Answer:",The immune system is the body's immune system.,0.2
Name 3 symptoms of diabetes.,direct,"Question: Name 3 symptoms of diabetes.
Answer:","drowsiness, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneezing, sneez",0.0
Name 3 symptoms of diabetes.,chain_of_thought,"Question: Name 3 symptoms of diabetes.
Let's think about this step by step:
1. First, let's understand what we're being asked
2. Then, we'll break down the key components
3. Finally, we'll provide a comprehensive answer

Answer:",Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes. Diabetes is a symptom of diabetes.,0.2
